case_id,variation_id,culprit_id,clue_id,item_location,item_name,item_description
dinner,poison_correct,chef,4,main entry,Jacket,Gordon Cutler's jacket was left in the foyer. It is usually put away in the closet.
dinner,poison_correct,chef,5,dining room,Cuff Link,A cufflink belonging to Alfred Sterling sits on the the table after dinner. He is always moving in and out the dining room unnoticed. 
dinner,poison_wrong,businessman,1,dining room,Note,Claire had written a note to her husband and it lay under the table. It read 'I thought you had everything handled. How upset is he that you lost the money?'
dinner,poison_wrong,businessman,2,kitchen ,Unusual substance,A weird gray liquid was splattered near the large blender. The family had eaten steak that night so it was unusual.
dinner,poison_wrong,businessman,3,kitchen,Suit Jacket,An embellished expense jacket laid on a stool in the kitchen. There seems to be something tucked into the pocket.
dinner,poison_wrong,businessman,4,study,Papers,Financial documents about a transaction between Victor and Marcus were ripped up and littered all over the floor. 
dinner,poison_wrong,businessman,5,living room,Jewelry,Claire's engagement sits on the side table near the window. It was highly unusual for her to leave her ring anywhere but on her hand or in her bedroom. 
dinner,poison_wrong,family_friend,1,dining room,Blue vial,A small skinny vial lays under the dining room table empty
dinner,poison_wrong,family_friend,2,kitchen,Purse with planner,A purse with a large blue planner in it sits on a stool in the kitchen and describes in detail how horrible a person Claire is.
dinner,poison_wrong,family_friend,3,living room,Victim's Glass,Kessler's wine glass lays shattered on the floor near the couch where he was sitting.
dinner,poison_wrong,family_friend,4,main entry,Missing Shoes and Jacket,Lillian Harrow's shoes and jacket appear to be missing from the entryway when the evening ends. Maybe she came through a different entrance? 
dinner,poison_wrong,family_friend,5,master bedroom,Printed Picture,An old picture of Victor and Lillian hugging at a college party lay on desk.
dinner,accident,chef,1,dining room,Broken glass,"In the chaos of Kessler's collapse at the dinner table, he threw his water glass across the table."
dinner,accident,chef,2,study,Papers,Lots of papers sat on the printer of different recipes for that evening's dinner.
dinner,accident,chef,3,kitchen,Herbs,Lots of different spices and herbs are thrown across the counter.
dinner,accident,chef,4,kitchen,Calculator,A calculator was left on the kitchen counter turned on.
dinner,accident,chef,5,main entry,Shoes,A pair of large brown boots sat near the entryway. It is unusual for shoes to be left out even when guests attend for dinner.
dinner,accident,butler,1,study,Broken lamp,A large green lamp had been knocked over and shattered all over floor. 
dinner,accident,butler,2,dining room,Stained tablecloth,The dining room table cloth has been stained entirely in red wine that had been spilled sometime during dinner. 
dinner,accident,butler,3,kitchen,Leaking Refrigerator,The refrigerator started making noises yesterday and the freezer started to leak fluid and it oozed across the kitchen floor.
dinner,accident,butler,4,living room,Plant Pot Broken,The living room was mostly tidy besides the fact that the large plant was spilling onto the floor and all dirt on the pot was seeping onto the carpet.
dinner,accident,butler,5,garden,Hole in the fence,A large hole in the fence of the gard appeared to have been created by the neighbors dog. Flowers were dug up.
daughter,kidnapping,driver,1,bedroom,Altered Schedule,"Finleigh’s schedule for the day has been edited in her usual neat handwriting. The changes are precise but unfamiliar, and do not match any adjustments Victor or Claire recall making. In a household where her schedule is strictly controlled, changes without their knowledge are highly unusual."
daughter,kidnapping,driver,2,main entry,Missing Outerwear,"The coat and shoes Finleigh was wearing earlier are missing from the entry, though the rest of the closet remains undisturbed. Nothing appears to have been taken in a hurry."
daughter,kidnapping,driver,3,kitchen,Car Keys,"The keys to the family car have been left in the kitchen, partially hidden behind a knife block rather than returned to their usual place."
daughter,kidnapping,driver,4,kitchen,Note,A note lay on the kitchen counter that was signed by Finleigh. It read 'I am leaving. FOREVER. - Miss Finleigh'.
daughter,kidnapping,driver,5,dining room,Schedule,"Victor’s copy of Finleigh’s schedule sits on his desk. It shows no changes or additions, and does not match the version found in her room. As the schedule is typically managed through him and Claire, this version appears to be the official one."
daughter,kidnapping,businessman,1,bedroom,Suitcase,An open suitcase on the bed. No belongings inside
daughter,kidnapping,businessman,2,living room,Glasses,Two glasses filled with water sit in the living room. One appears to be drank the other does not.
daughter,kidnapping,businessman,3,study,Shredded Financial Documents,Financial documents in the study had been recently shredded and discarded in the waste bin. They had been triple shredded. The police said it will take weeks if anything to figure out what they say.
daughter,kidnapping,businessman,4,main entry,Ransom Note,"There is a ransom note in the main entry hall that reads 'If I don't get the money you owe, you'll never see her again.'"
daughter,kidnapping,businessman,5,garden,Back Gate Broken,The back gate of the garden is bent and twisted out of shape. It looks like someone would need a lot of strength to be able to do this.
daughter,murder,husband,1,bedroom,bloody footprints,Bloody footprints lead out of Finleigh's room and then disappear in the hallway. The footprints are decently large and appear to be loafers or boots. 
daughter,murder,husband,2,kitchen,Dirty cloth,A dirty cloth lay on the kitchen counter that appeared to have a little bit of blood on it.
daughter,murder,husband,3,study,Broken lamp,A lamp lay shattered on the floor in the study. The top of the lamp was missing and was not found in the house. 
daughter,murder,husband,4,main entry,Door left open,The main door to the house was left open and the door lock was broken as if someone had broke in.
daughter,murder,husband,5,study,Papers,Papers in the study were scattered everywhere. Most of them belonged to Victor's financial firm. 
daughter,murder,driver,1,bedroom,Chair overturned,A large chair is overturned in the bedroom. The chair is very light. There is a droplet of blood on the carpet but otherwise the room is tidy and neat.
daughter,murder,driver,2,dining room,Jacket,A suiting jacket that does not belong to any member of the family sits at the bottom of the stairs. It appears to also have specks of blood on it.
daughter,murder,driver,3,main entry,House keys,The house keys Finleigh uses where left in the tin in the main entryway. She brings them everywhere with her.
daughter,murder,driver,4,kitchen,Bloody glove,A white bloody glove in found in the trash can. The other glove is not found. 
daughter,murder,driver,5,main entry,Drops of blood,Specks of blood are splatters across the main entryway. They lead to the stairs toward the bedroom.
daughter,runaway,maid,1,kitchen,To-Do list,Cleaning To-List remains in the kitchen. Everything is checked off as completed for the day. 
daughter,runaway,maid,2,living room,Dirty Carpet,The living room carpet has dirt tracked all over it from outside from the gardener earlier in the morning when he waters the flowers. 
daughter,runaway,maid,3,bedroom,Bag handle,Bag handle that appear to be ripped off of a duffle bag is stuck to the corner of the dresser near the door. The space seems tidy and clean otherwise. 
daughter,runaway,maid,4,main entry,Swiffer,A large swiffer and swiffer pads lay in the main hall. They are usually stored in the closet after they have been used to clean the main hall. 
daughter,runaway,maid,5,study,Dirty windows,The windows are covered in dust and dirt that has been accumulating for some time. 
daughter,runaway,gardener,1,bedroom,Packed Essentials,"A few personal items appear to be missing from Finleigh's room, though nothing obvious at first glance. The space remains tidy, but not everything has been left behind."
daughter,runaway,gardener,2,garden,Disturbed Path,"A section of the garden path shows light signs of recent use, as though passed through a few times. Two sets of footprints can be made out. One set of large boot prints is a common sight throughout the garden, but the other set of footprints alongside them are much smaller and lighter and not commonly seen out here."
daughter,runaway,gardener,3,garden,Unlatched Gate,The side gate behind the tool shed is not fully secured. It appears to have been opened recently and closed again without being properly latched.
daughter,runaway,gardener,4,main entry,Missing Outerwear,"The coat and shoes Finleigh was wearing earlier, as well as a few of her others, are gone, though the rest of the closet remains undisturbed. Nothing appears to have been taken in a hurry."
daughter,runaway,gardener,5,bedroom,Handwritten Note,"A neatly written note has been left behind in Finleigh’s room. It's written in her neat looping handwriting and in it, she states that she is leaving of her own accord and that no effort should be made to find her. The tone is composed, though the wording is more direct than expected."
