case_id,variation_id,suspect_id,culprit_id,alibi_text
heirloom,misplaced,maid,wife,"I remember Mrs. Delmar going into the study earlier, though I thought she was only tidying something. She didn't stay long."
heirloom,misplaced,butler,wife,"I did not hear anything unusual from the study. If something occurred, it was done without disturbance."
heirloom,misplaced,gardener,wife,I stayed outside most of the day. I wouldn't know anything about what happened inside.
heirloom,misplaced,husband,butler,I asked Alfred to see to the heirloom earlier. I assumed it had been secured afterward.
heirloom,misplaced,wife,butler,"I was with the guests throughout the evening. If something was mishandled, I would expect it to be addressed properly rather than… misplaced."
heirloom,misplaced,family_friend,butler,"I was with the others, as expected. Though it’s always interesting how quickly something can go missing when it’s being handled by too many people."
heirloom,misplaced,maid,butler,"I saw Alfred carrying something earlier, though I didn't get a good look at what it was. He seemed in a bit of a hurry."
heirloom,misplaced,butler,butler,"I followed Mr. Auren’s instructions as requested. I did step outside briefly to speak with Oliver, but I returned shortly after. When I went to retrieve the heirloom later, it was no longer where it should have been."
heirloom,misplaced,gardener,butler,"I spoke with Alfred outside for a short time. He didn't have anything with him, at least nothing I noticed."
dinner,poison_correct,husband,husband,"I spent the evening with the guests. Kessler and I spoke briefly before dinner, but nothing out of the ordinary. I certainly didn't involve myself with the service or anything being prepared."
dinner,poison_correct,wife,husband,"I remained with the guests throughout the evening. Victor did step away just before the main course, though I assumed it was to deal with something related to the dinner. He returned quickly enough, and nothing seemed unusual at the time."
dinner,poison_correct,family_friend,husband,"I stayed with the others, as expected. Though I couldn't help noticing Victor and Kessler had a rather focused conversation earlier. It didn't seem especially pleasant, though I suppose that depends on one’s perspective."
dinner,poison_correct,businessman,husband,"I was seated at the table for most of the evening. Kessler had a way of making things… complicated. I know Victor had been dealing with him over some matter recently, though I wasn't involved in the details."
dinner,poison_correct,chef,husband,"Everything was prepared exactly as planned. The dishes left the kitchen under supervision, and nothing was altered before they were sent out. If anything happened, it didn't happen here."
dinner,poison_correct,butler,husband,"I oversaw the service as usual. There was a brief moment before the main course where I was called away, and the dining room was not fully attended. It was only for a short time, but I cannot account for everything that may have occurred during that window."
dinner,poison_correct,husband,chef,"I was with the guests for the evening. I left the preparation and service entirely to the staff, as one would expect."
dinner,poison_correct,wife,chef,"I remained with the guests throughout the evening. The food and drinks were handled by the staff, and I had no reason to involve myself in any of that."
dinner,poison_correct,family_friend,chef,"I stayed with the others, as expected. Though it does seem rather convenient that whatever happened must have occurred in the one place none of us were allowed to see."
dinner,poison_correct,businessman,chef,"I was seated with the others for most of the evening. Kessler didn't seem particularly comfortable, though I assumed it was just the company."
dinner,poison_correct,chef,chef,"Everything that left my kitchen was prepared exactly as intended. I personally oversaw the preparation of each course, I have no interest in repeating past mistakes, especially not in a setting like this."
dinner,poison_correct,butler,chef,"I handled the service of the dishes as they were brought out. I do not interfere with what is prepared in the kitchen, only with how it is presented."
dinner,poison_wrong,husband,businessman,I had a brief meeting with Marcus before dinner. I had to nail down some details about our recent investment. It was super quick and then we ate dinner. No one was upset I can promise you.
dinner,poison_wrong,wife,businessman,I never stepped one foot in that kitchen. I was in the living room for most of the evening before dinner entertaining my guests. No one seemed off at all. The note I wrote was about a TV show my husband and I watched a week before. I guess the maid didn't tidy up well enough.
dinner,poison_wrong,family_friend,businessman,I showed up around 6PM. I sat in the living room with Claire until dinner was ready. It was a little tense at dinner. Marcus seemed particularly quiet but otherwise the night was normal.
dinner,poison_wrong,businessman,businessman,I met with Victor before dinner about some vacation plans we have coming up. I got annoyed because Victor hates planning and puts it all on me. Dinner was nice. Hated to see it end that way.
dinner,poison_wrong,chef,businessman,Dinner went as planned. I had to leave briefly to check in on my mother she's been sick recently. I made sure to prepare dinner earlier.
dinner,poison_wrong,butler,businessman,I was running around all evening making sure drinks were filled and plates were full. I didn't notice anything out of the ordinary. 
dinner,poison_wrong,husband,family_friend,"I was seated with the guests for the entirety of the meal. Drinks were already set out before we began, and I didn't pay much attention to who had which glass. Nothing seemed out of place until Kessler collapsed."
dinner,poison_wrong,wife,family_friend,"My glass was placed beside me before dinner began, though I barely touched it. At some point it may have been moved slightly when the arrangements were being adjusted, but I didn't think anything of it at the time."
dinner,poison_wrong,family_friend,family_friend,"I remained at the table with the others. There was a moment where the place settings and glasses were adjusted slightly, but I didn't involve myself in any of that. I simply took what was in front of me."
dinner,poison_wrong,businessman,family_friend,"I was seated near Kessler, and I do recall him reaching for a different glass at one point, I believe it might've been Claire's. I assumed he’d simply taken the wrong one, but it didn't seem worth mentioning."
dinner,poison_wrong,chef,family_friend,"The courses were prepared in advance and sent out together. Once they left the kitchen, they were no longer under my control, and nothing was altered before service."
dinner,poison_wrong,butler,family_friend,"I prepared and delivered each course according to the seating arrangement. Once they were placed in front of the guests, I did not interfere further with them."
dinner,accident,husband,chef,I sat next to my wife at dinner. The food was delicious. I encouraged the chef to try a new recipe. Spicy chicken. It turned out good.
dinner,accident,wife,chef,I sat between my husband and Lillian all evening. There was nothing out of the ordinary all evening.
dinner,accident,family_friend,chef,I came over around 5PM and we had drinks outside by the garden. Kessler had mentioned something about a heart condition he was getting checked out. That was the only thing that stood out to me for the whole evening. 
dinner,accident,businessman,chef,I always enjoy dinner at the Auren's house. It was a perfectly pleasant evening and nothing seems out of the ordinary. Victor could not stop talking about this new health kick he is on.
dinner,accident,chef,chef,This dinner was incredibly stressful but everything went to plan. Victor has been obsessed with trying new 'healthy' dishes but says everything tastes bad. I really went all out.
dinner,accident,butler,chef,This was a very typically evening hosting at the house. The entire group seemed surprised at how spicy the dish was and I was constantly supplying more water. 
dinner,accident,husband,butler,Tonight was chaotic. The house is an absolute mess but it was a lot of fun. Beside Kessler.. obviously. Everyone drank too much. I don't remember a lot 
dinner,accident,wife,butler,Lillian is so funny. We spent the entire night in the living room drinking and laughing before dinner. She accidentally knocked over the vase. Whoops. 
dinner,accident,family_friend,butler,Claire and I spent the whole night together. Dinner seemed normal and was very delicious. It's so terrible such a nice evening turned into something so sad.
dinner,accident,businessman,butler,I arrived to dinner being served. It was prepared very well. Everyone had already had quite a lot to drink. I even spilled my drink all of the table. The poor butler seemed terribly frustrated with me.
dinner,accident,chef,butler,I spent the evening in the kitchen preparing dinner. No one entered the kitchen besides the butler. I made sure of that. They had too much to drink.
dinner,accident,butler,butler,This night was so frustrating. Everything broke at once. I had no idea what dishes I placed where. The refrigerator repairman doesn't come until tomorrow. This is ridiculous.
daughter,kidnapping,husband,driver,"Finleigh had a structured schedule for the day, and there was nothing on her schedule for today that had her leaving the property. If she had left the estate, I would have expected to be informed."
daughter,kidnapping,wife,driver,"Finleigh is not one to miss anything on her schedule. When she failed to appear for her next obligation, it was immediately clear that something was wrong. I assumed at first she had simply been delayed, but she never arrived."
daughter,kidnapping,businessman,driver,"I was occupied with Victor for most of the day discussing our business ventures. I did not see Finleigh, though I did notice one of the vehicles had been moved at some point."
daughter,kidnapping,driver,driver,"I followed the usual schedule for the day. Miss Finleigh didn't have any planned outings, and I was not instructed to take her anywhere. I remained near the vehicles for most of the afternoon and did not see her leave the estate."
daughter,kidnapping,maid,driver,"Miss Finleigh’s room was empty when I went to check in on her early in the afternoon, though it didn't look like she had left in a hurry. I assumed she had been called away."
daughter,kidnapping,gardener,driver,"I saw Miss Finleigh get into the family car earlier in the day. She waved to me on her way out. I didn't think anything of it at the time, I just assumed she was heading somewhere she was meant to be."
daughter,kidnapping,husband,businessman,"Marcus and I were occupied for much of the day, reviewing matters that required our full attention. I cannot account for every moment he stepped away, but nothing occurred that should have disrupted the household. Finleigh was expected elsewhere, and she simply failed to appear."
daughter,kidnapping,wife,businessman,"Finleigh does not miss anything on her schedule. When she failed to appear, it was immediately clear something was wrong. I had her routine reviewed, but there was no explanation for where she could have gone. She would not simply leave without reason."
daughter,kidnapping,businessman,businessman,"Victor and I were occupied for most of the day. I did step away briefly at one point, though not for long, and I had no interaction with Finleigh. I assumed she was following her usual routine, as everyone else did."
daughter,kidnapping,driver,businessman,"I was not instructed to take Miss Finleigh anywhere that day. No vehicle was prepared, and I did not see her leave the estate."
daughter,kidnapping,maid,businessman,I always enjoy dinner at the Auren's house. It was a perfectly pleasant evening and nothing seems out of the ordinary. Victor could not stop talking about this new health kick he is on.
daughter,kidnapping,gardener,businessman,"I heard something earlier, like something being knocked or moved inside, but I couldn't see what it was from where I was. It didn't sound like nothing though."
daughter,murder,husband,husband,"I spoke with Finleigh earlier in the day regarding a matter that required her attention. She was expected to follow through on it, and I have no knowledge of where she went afterward. I have no knowledge of why she failed to appear for her remaining obligations."
daughter,murder,wife,husband,"I was aware that Victor intended to speak with her. I did not witness the conversation myself, but whatever occurred during that conversation clearly disrupted her schedule, which is not something that happens without cause. That, more than anything, is what concerns me."
daughter,murder,businessman,husband,"Victor mentioned he needed to address something with Finleigh earlier in the day. I did not see her afterward, though I assumed the matter had been resolved."
daughter,murder,driver,husband,"I was not instructed to prepare any vehicle for Miss Finleigh, and no departure was scheduled. I did not see her leave the estate at any point."
daughter,murder,maid,husband,"Miss Finleigh’s room was not as it should have been. Something had been left unfinished, and it looked as though she had been interrupted while in the middle of something. One of her books was left open on the desk, as if she intended to return to it. I assumed she had been called away, though it did not feel… usual."
daughter,murder,gardener,husband,"I didn't see Miss Finleigh out on the grounds at all that day. If she had come outside, I would have noticed. But Penny mentioned she heard raised voices earlier, coming from inside. I don't know what it was about, but it didn't sound like nothing."
daughter,murder,husband,driver,"There was no scheduled departure for Finleigh. If she had intended to leave, it would have been arranged in advance. The fact that it was not… is concerning."
daughter,murder,wife,driver,"Finleigh would not have left without it being accounted for. There is no record of her going anywhere. I was aware of a brief disturbance earlier, though it was not the sort of thing that would typically require attention. Her continued absence is… not easily explained."
daughter,murder,businessman,driver,"I did not see Finleigh at all that day. I assumed she was occupied elsewhere in the house. I did hear some sort of disturbance earlier, though it was brief. I assumed it was nothing serious at the time. In hindsight… perhaps that was a mistake."
daughter,murder,driver,driver,"I was not instructed to take Miss Finleigh anywhere that day, and I did not. I remained near the vehicles and carried out my usual duties. I did not see her leave the estate at any point."
daughter,murder,maid,driver,"I heard something earlier, not shouting exactly, but something sudden. Like something being knocked over. It stopped quickly, though, so I didn't think it was my place to interfere."
daughter,murder,gardener,driver,"I heard something from inside earlier. Not raised voices, but enough to notice. It didn't last long. It’s strange... Things don't just stop like that without a reason."
daughter,runaway,husband,maid,"There was no scheduled departure for Finleigh, and no arrangement was made for her to leave the estate. That alone is enough to make the situation clear. Whatever has been done, it was deliberate, and it was done in direct disregard of how this household operates. That is not acceptable."
daughter,runaway,wife,maid,"Finleigh is fully aware of what is expected of her. If she has chosen to disregard that, then she has done so intentionally. There were no signs of disruption, no indication of interference. That leaves very few explanations."
daughter,runaway,businessman,maid,"I did not see Finleigh at all that day. However, given the lack of any disturbance, it seems unlikely that she was taken. Situations like that rarely leave no trace. That said, I did notice the maid seemed… unsettled. It may be nothing, but it stood out."
daughter,runaway,driver,maid,"I was not instructed to take Miss Finleigh anywhere, and no vehicle was prepared for her use. If she left the estate, it was not through any normal arrangement."
daughter,runaway,maid,maid,"Miss Finleigh’s room appeared as it usually does. Nothing was disturbed, nothing left out of place. If she left, she did so calmly. I assumed she had already moved on to her next obligation."
daughter,runaway,gardener,maid,"I saw Miss Finleigh earlier in the day. She didn't seem upset or in distress. If anything, she seemed… certain. I didn't think much of it at the time."
daughter,runaway,husband,gardener,"There was no scheduled departure for Finleigh, and no arrangement was made for her to leave. If she chose to disregard that, then she did so deliberately. That is not how this household functions."
daughter,runaway,wife,gardener,"I saw Finleigh outside earlier in the day, speaking with the gardener. She had no reason to be lingering there, and it disrupted the rest of her schedule. If she failed to appear afterward, I would assume she was delayed by something that should not have taken priority."
daughter,runaway,businessman,gardener,"I required transportation that afternoon, so I asked the driver to take me into town. We were gone for some time. I did not see Finleigh at all that day."
daughter,runaway,driver,gardener,"Mr. Pierce requested a ride that afternoon, so I took him into town. I was away from the estate for some time and was not present to observe any movement within the household."
daughter,runaway,maid,gardener,"Miss Finleigh’s room appeared normal when I last checked it. Nothing was disturbed, nothing out of place. If she left, she did so without any sign of urgency."
daughter,runaway,gardener,gardener,"I saw Miss Finleigh earlier in the day. She came outside for a bit, which is not unusual, but she stayed longer than she normally would have. She spoke to me briefly before heading off again. I didn't think anything of it at the time."
