case_id,variation_id,culprit_id,clue_id,item_location,item_name,item_description
daughter,murder,gardener,4,,,
daughter,murder,gardener,5,,,
daughter,runaway,maid,1,,,
daughter,runaway,maid,2,,,
daughter,runaway,maid,3,,,
daughter,runaway,maid,4,,,
daughter,runaway,maid,5,,,
daughter,runaway,driver,1,,,
daughter,runaway,driver,2,,,
daughter,runaway,driver,3,,,
daughter,runaway,driver,4,,,
daughter,runaway,driver,5,,,
